date,close,volume,amount
2018-05-09,76.2500,20926220,1578934106.2900
2018-05-10,77.9800,28304427,2198742268.5500
2018-05-11,77.0600,22238963,1735583565.7000
2018-05-14,78.3200,22892925,1786981011.2700
2018-05-15,79.3800,23369601,1833390827.9600
2018-05-16,79.1700,26135149,2081238266.8700
2018-05-17,77.0700,26873152,2084934603.5500
2018-05-18,77.5900,21657075,1665226221.3200
2018-05-21,77.1800,18679108,1449622080.1200
2018-05-22,77.6500,17287556,1334239417.6800
2018-05-23,76.4400,19462606,1500173188.4500
2018-05-24,74.0200,28880850,2171382488.0600
2018-05-25,74.3000,24733727,1846699438.4300
2018-05-28,77.4500,34950878,2667347200.3700
2018-05-29,76.3400,32925326,2564551156.1700
2018-05-30,76.8000,26765570,2045859932.0500
2018-05-31,78.9800,41529427,3266151334.1400
2018-06-01,78.6200,27637920,2173363366.4300
2018-06-04,81.8000,45702140,3680041020.1100
2018-06-05,82.8000,39510595,3248037847.4200
2018-06-06,82.1100,28119042,2319392687.7100
2018-06-07,80.8500,24022867,1959665574.8000
2018-06-08,80.3900,25687684,2056435707.5800
2018-06-11,82.4800,41789436,3435464323.4500
2018-06-12,86.0000,46043240,3903915961.3000
2018-06-13,85.4700,28697253,2460756755.8200
2018-06-14,84.4100,26587416,2237838346.1000
2018-06-15,83.2500,24069632,2003984497.3000
2018-06-19,79.8800,38042230,3073242295.5800
2018-06-20,82.0600,26342617,2137142810.4000
2018-06-21,80.8800,26582382,2178315930.4600
2018-06-22,80.1800,24893380,1986219735.6600
2018-06-25,82.1100,36660963,3029558089.2700
2018-06-26,81.4800,28982518,2351950446.4000
2018-06-27,76.5500,42271193,3309866061.7800
2018-06-28,73.6500,33243447,2471122707.5700
2018-06-29,76.0000,22957358,1724744132.6500
2018-07-02,74.2800,26221408,1981522179.8800
2018-07-03,72.3800,41705767,2994709213.5600
2018-07-04,70.7000,24826384,1776041016.4800
2018-07-05,70.8200,32858302,2334023503.8400
2018-07-06,70.6200,33176915,2334076324.9200
2018-07-09,73.5400,32110114,2323873970.3300
2018-07-10,73.3700,22014356,1607141813.4600
2018-07-11,72.0800,19172467,1377729665.0700
2018-07-12,73.9000,28313629,2086611498.3600
2018-07-13,75.7500,27565653,2068808408.9700
2018-07-16,75.4200,20407727,1542523507.5100
2018-07-17,74.0400,18954570,1401078112.1000
2018-07-18,73.3100,16659354,1231365687.3500
2018-07-19,73.3800,14456706,1060790202.3100
2018-07-20,73.4300,25061759,1822785335.7700
2018-07-23,72.1200,29899460,2150492051.3000
2018-07-24,75.0300,37924439,2798512515.0700
2018-07-25,75.0000,23553211,1766246342.7400
2018-07-26,74.1900,20307725,1516383849.0100
2018-07-27,74.1900,16394908,1219507575.4600
2018-07-30,72.6000,19872102,1444181932.9000
2018-07-31,72.1500,14953196,1080385795.2000
2018-08-01,70.0200,26091672,1850440407.2800
2018-08-02,67.9200,33533444,2275594234.9400
2018-08-03,65.6700,26407210,1755022499.8100
2018-08-06,64.3400,25704067,1665999742.6600
2018-08-07,66.4800,27734378,1814190299.4500
2018-08-08,64.4400,23681812,1544553324.2200
2018-08-09,66.3600,26399041,1737604804.4500
2018-08-10,66.0500,21283369,1409830870.6300
2018-08-13,64.4100,36552137,2343183704.6600
2018-08-14,65.1000,29433738,1910064580.2900
2018-08-15,63.3300,20711286,1320142860.3800
2018-08-16,61.1500,30805573,1913089768.1400
2018-08-17,60.6100,25993542,1592610464.3400
2018-08-20,62.0300,29124979,1771847023.7300
2018-08-21,64.3300,35539212,2262787702.2100
2018-08-22,63.6900,14773268,942536719.0500
2018-08-23,64.1500,17891810,1147044329.5200
2018-08-24,62.9600,18476928,1163742383.2700
2018-08-27,65.3100,34040126,2198875203.2100
2018-08-28,64.3000,39097678,2527105908.0400
2018-08-29,63.6800,24228564,1543978648.5800
2018-08-30,63.4000,18969237,1209290718.0700
2018-08-31,61.9000,24456055,1517434104.4400
2018-09-03,61.9700,20832453,1283847415.2400
2018-09-04,62.7700,19483865,1215148333.5500
2018-09-05,60.9000,21713048,1342662987.1800
2018-09-06,59.7100,31922195,1924316865.7700
2018-09-07,60.7700,22272604,1347995371.4500
2018-09-10,60.3800,19591916,1179507359.9700
2018-09-11,61.0000,20291936,1235001569.6500
2018-09-12,59.6500,19160779,1150744732.1200
2018-09-13,59.9800,20686536,1232442100.0700
2018-09-14,61.5300,29496029,1800648312.9800
2018-09-17,61.8600,23550859,1458775764.2300
2018-09-18,63.2100,26386124,1647393657.3700
2018-09-19,64.4400,41136431,2653606009.8500
2018-09-20,64.3900,16416571,1056728297.3800
2018-09-21,66.4200,33103004,2175628239.7000
2018-09-25,65.3000,19515014,1279057649.4500
2018-09-26,67.2000,43804128,2938975084.8700
2018-09-27,67.3700,21631563,1449181804.9100
2018-09-28,67.9500,23382849,1580316135.3300
2018-10-08,63.4800,37057018,2385119273.8900
2018-10-09,63.3600,21420464,1360554848.6800
2018-10-10,60.8100,41960588,2588361097.1900
2018-10-11,58.7200,45745039,2689059911.8200
2018-10-12,60.2100,37152679,2208288025.6100
2018-10-15,58.7600,25620023,1522091214.3700
2018-10-16,58.9700,15252793,900184446.0600
2018-10-17,59.4000,26241678,1546537894.6900
2018-10-18,58.0000,17730318,1035333837.2900
2018-10-19,59.4900,36896532,2151505919.5000
2018-10-22,62.4800,44553185,2750470637.5100
2018-10-23,58.0000,54243318,3220258361.5700
2018-10-24,56.2900,44049534,2476913916.1600
2018-10-25,54.8000,29030242,1583783392.7100
2018-10-26,54.3000,23160445,1261671861.2900
2018-10-29,48.8700,37955851,1867188641.7300
2018-10-30,47.4900,55024193,2611486807.6200
2018-10-31,48.1500,46199489,2224915887.3700
2018-11-01,49.6500,63904550,3185378779.8500
2018-11-02,53.6900,59391564,3096208024.5000
2018-11-05,51.7500,45764085,2369001862.5200
2018-11-06,50.8000,28332405,1431547618.1200
2018-11-07,50.5000,24085654,1226555649.7000
2018-11-08,50.6900,18200962,928122739.8200
2018-11-09,50.0100,14637808,733423985.3600
2018-11-12,50.0500,26182166,1301791732.0200
2018-11-13,51.2500,32615089,1651313768.2400
2018-11-14,50.1700,20628963,1040308055.1800
2018-11-15,50.5900,15193511,768330766.9000
2018-11-16,50.6900,19654868,998312549.9600
2018-11-19,51.6900,24718444,1271045173.7100
2018-11-20,50.6100,18098637,921741031.2800
2018-11-21,51.1300,18284843,931815890.5300
2018-11-22,50.9900,12411632,631537107.7000
2018-11-23,50.0200,13797926,693820133.8900
2018-11-26,50.0900,9509880,477612277.9200
2018-11-27,49.7800,10074605,502445554.2400
2018-11-28,50.2400,13733770,688851436.7200
2018-11-29,50.4300,24341460,1242372769.7800
2018-11-30,52.3900,39886604,2068637920.8100
2018-12-03,55.0900,46020824,2511545475.3900
2018-12-04,54.9500,21503516,1178732543.1000
2018-12-05,54.9100,28071491,1542561985.6200
2018-12-06,53.0000,29960836,1601536564.6500
2018-12-07,53.2000,14689412,782201158.0600
2018-12-10,52.3300,15876096,832455350.8500
2018-12-11,52.8200,11012014,578637435.6900
2018-12-12,53.1700,12163417,645047991.1700
2018-12-13,54.0100,23011367,1241031288.3000
2018-12-14,52.9900,17318616,922137672.6500
2018-12-17,52.8200,10384389,546825431.3700
2018-12-18,52.9400,10670645,561857538.2700
2018-12-19,52.5600,19096504,1019671419.5300
2018-12-20,51.8600,18203973,941847194.7000
2018-12-21,50.6000,19493928,988024605.1700
2018-12-24,50.9600,10492946,532943451.8900
2018-12-25,50.8600,12080036,608934763.7100
2018-12-26,50.4100,9119744,461720963.4500
2018-12-27,50.1500,13435416,683348924.4300
2018-12-28,50.8800,19068489,967588986.9700
2019-01-02,49.9400,23226724,1174716785.5800
2019-01-03,48.9600,27802962,1356928388.7400
2019-01-04,49.5400,24149801,1185479550.4900
2019-01-07,49.3100,23379693,1155244860.5100
2019-01-08,49.0200,16784439,824599215.6000
2019-01-09,50.0300,33078486,1658874318.2000
2019-01-10,49.8600,18637444,925758405.7300
2019-01-11,50.6900,24766779,1247223823.4400
2019-01-14,49.5900,21780059,1083865427.3500
2019-01-15,52.9700,50041349,2572947449.8100
2019-01-16,52.2000,33007796,1727407213.3500
2019-01-17,51.9200,23390986,1221557212.1300
2019-01-18,53.8800,52123534,2803566846.8300
2019-01-21,56.0000,54911173,3061837196.0300
2019-01-22,55.2100,33569156,1848120935.5300
2019-01-23,55.0700,20224228,1112986460.3900
2019-01-24,55.2000,19359761,1067519359.5500
2019-01-25,55.2500,24174003,1341239754.3700
2019-01-28,57.4700,59237546,3412999036.5800
2019-01-29,58.5800,31713216,1837922041.3000
2019-01-30,57.2800,28680178,1664437445.7400
2019-01-31,60.3000,52732368,3103402259.3500
2019-02-01,61.1800,39035408,2375429263.6600
2019-02-11,64.7000,43398199,2753822285.8500
2019-02-12,64.7500,43764170,2856721810.0500
2019-02-13,66.0700,37435649,2448957573.3200
2019-02-14,67.9600,44614646,3004589301.3700
2019-02-15,66.4000,31127211,2082676229.3800
2019-02-18,69.8700,43977028,3023099194.8100
2019-02-19,69.6700,33964852,2359916161.5000
2019-02-20,69.0100,29628140,2047537231.2400
2019-02-21,68.0500,28349805,1939785170.4000
2019-02-22,68.5000,23804524,1612149500.1500
2019-02-25,71.2600,59350605,4126012682.7200
2019-02-26,68.9200,45065352,3137917046.2800
2019-02-27,70.0600,48830743,3448272493.0800
2019-02-28,71.5000,39447795,2804495424.0600
2019-03-01,75.9000,49318998,3648644759.3100
2019-03-04,77.2500,61247124,4731317564.7400
2019-03-05,77.7700,33285888,2577911820.5400
2019-03-06,76.9900,34185096,2619984243.0600
2019-03-07,73.9700,46417664,3452843502.8500
2019-03-08,71.4400,42140085,3053064892.2100
2019-03-11,76.0000,45333022,3365404170.7000
2019-03-12,75.3000,34597522,2617867826.2000
2019-03-13,76.5000,32098342,2441832251.0000
2019-03-14,77.1500,43831252,3412067635.3300
2019-03-15,78.7800,40766689,3195204171.4500
2019-03-18,86.6600,78502853,6597656097.7200
2019-03-19,86.0000,61471264,5293626419.3500
2019-03-20,85.7000,40412261,3473591304.2700
2019-03-21,84.9000,21863519,1857556465.8900
2019-03-22,86.0500,28722831,2459037963.3000
2019-03-25,82.8100,33348523,2793616226.1900
2019-03-26,84.4700,32321293,2724755664.3800
2019-03-27,87.9800,49444264,4308324502.2100
2019-03-28,90.3000,60734571,5493378455.4500
2019-03-29,95.0000,57499553,5426052479.6900
2019-04-01,96.5700,54871096,5244031795.2800
2019-04-02,96.0600,35698969,3399871594.8900
2019-04-03,95.4000,24743843,2369519371.5800
2019-04-04,100.2300,51629797,5094805404.5400
2019-04-08,102.0000,53574123,5478418894.1800
2019-04-09,110.0200,47313725,4884426196.2400
2019-04-10,107.0000,67314447,7185973863.1600
2019-04-11,99.8000,67620791,6875381507.7100
2019-04-12,99.6200,41082462,4052939503.1400
2019-04-15,100.6000,46450328,4759979024.7600
2019-04-16,102.2100,47471447,4751005774.2600
2019-04-17,103.6200,42313686,4356259331.6000
2019-04-18,102.3400,27866312,2862113036.5300
2019-04-19,101.6600,30235053,3052000832.0700
2019-04-22,101.1300,35074375,3571766313.5800
2019-04-23,104.3100,52179397,5401052567.0400
2019-04-24,103.5000,36260720,3738473481.5100
2019-04-25,100.6000,32452314,3310704569.8900
2019-04-26,102.2700,41070659,4170490844.5700
2019-04-29,102.2900,57844278,5918159012.4600
2019-04-30,102.3600,29919652,3066006981.2800
2019-05-06,92.1200,71699288,6811943471.7900
2019-05-07,95.9600,51724250,4939402434.0500
2019-05-08,95.8800,33331643,3192877613.7800
2019-05-09,91.8100,52505788,4852605179.2400
2019-05-10,99.2000,59712662,5777245727.2800
2019-05-13,103.6000,52161819,5335656536.8400
2019-05-14,102.4800,43103407,4441800280.6100
2019-05-15,109.9000,64752067,6923929594.4600
2019-05-16,109.9800,42650271,4675545683.3500
2019-05-17,106.4600,50119516,5378725800.7500
2019-05-20,104.0000,39848030,4127376688.5100
2019-05-21,104.2000,41802959,4339949492.6000
2019-05-22,103.3100,28154190,2903441868.6500
2019-05-23,99.8300,42803482,4314285880.8700
2019-05-24,101.0200,32483843,3284967739.1900
